WARNING:root:Automatically setting rho to 0.206
INFO:root:Starting ADMM phase 1 with tol 0.010
INFO:root:Starting ADMM phase 2 with rho 0.206
INFO:root:Iteration 0, violation 12.784
INFO:root:Iteration 1, violation 12.709
INFO:root:Iteration 2, violation 12.600
INFO:root:Iteration 3, violation 12.455
INFO:root:Iteration 4, violation 12.277
INFO:root:Iteration 5, violation 12.066
INFO:root:Iteration 6, violation 11.824
INFO:root:Iteration 7, violation 11.553
INFO:root:Iteration 8, violation 11.253
INFO:root:Iteration 9, violation 10.929
INFO:root:Iteration 10, violation 10.583
INFO:root:Iteration 11, violation 10.218
INFO:root:Iteration 12, violation 9.837
INFO:root:Iteration 13, violation 9.444
INFO:root:Iteration 14, violation 9.042
INFO:root:Iteration 15, violation 8.633
INFO:root:Iteration 16, violation 8.222
INFO:root:Iteration 17, violation 7.810
INFO:root:Iteration 18, violation 7.402
INFO:root:Iteration 19, violation 7.000
INFO:root:Iteration 20, violation 6.606
INFO:root:Iteration 21, violation 6.224
INFO:root:Iteration 22, violation 6.064
INFO:root:Iteration 23, violation 6.484
INFO:root:Iteration 24, violation 6.861
INFO:root:Iteration 25, violation 7.192
INFO:root:Iteration 26, violation 7.473
INFO:root:Iteration 27, violation 7.702
INFO:root:Iteration 28, violation 7.877
INFO:root:Iteration 29, violation 7.996
INFO:root:Iteration 30, violation 8.059
INFO:root:Iteration 31, violation 8.064
INFO:root:Iteration 32, violation 8.012
INFO:root:Iteration 33, violation 7.903
INFO:root:Iteration 34, violation 7.738
INFO:root:Iteration 35, violation 7.517
INFO:root:Iteration 36, violation 7.244
INFO:root:Iteration 37, violation 6.921
INFO:root:Iteration 38, violation 6.549
INFO:root:Iteration 39, violation 6.133
INFO:root:Iteration 40, violation 5.675
INFO:root:Iteration 41, violation 5.179
INFO:root:Iteration 42, violation 4.649
INFO:root:Iteration 43, violation 4.090
INFO:root:Iteration 44, violation 4.247
INFO:root:Iteration 45, violation 4.412
INFO:root:Iteration 46, violation 4.564
INFO:root:Iteration 47, violation 4.702
INFO:root:Iteration 48, violation 4.827
INFO:root:Iteration 49, violation 4.936
INFO:root:Iteration 50, violation 5.031
INFO:root:Iteration 51, violation 5.109
INFO:root:Iteration 52, violation 5.171
INFO:root:Iteration 53, violation 5.217
INFO:root:Iteration 54, violation 5.245
INFO:root:Iteration 55, violation 5.256
INFO:root:Iteration 56, violation 5.249
INFO:root:Iteration 57, violation 5.225
INFO:root:Iteration 58, violation 5.184
INFO:root:Iteration 59, violation 5.124
INFO:root:Iteration 60, violation 5.469
INFO:root:Iteration 61, violation 5.801
INFO:root:Iteration 62, violation 6.091
INFO:root:Iteration 63, violation 6.335
INFO:root:Iteration 64, violation 6.535
INFO:root:Iteration 65, violation 6.689
INFO:root:Iteration 66, violation 6.799
INFO:root:Iteration 67, violation 6.864
INFO:root:Iteration 68, violation 6.885
INFO:root:Iteration 69, violation 6.865
INFO:root:Iteration 70, violation 6.804
INFO:root:Iteration 71, violation 6.705
INFO:root:Iteration 72, violation 6.571
INFO:root:Iteration 73, violation 6.402
INFO:root:Iteration 74, violation 6.204
INFO:root:Iteration 75, violation 5.978
INFO:root:Iteration 76, violation 5.728
INFO:root:Iteration 77, violation 5.664
INFO:root:Iteration 78, violation 5.902
INFO:root:Iteration 79, violation 6.120
INFO:root:Iteration 80, violation 6.318
INFO:root:Iteration 81, violation 6.492
INFO:root:Iteration 82, violation 6.643
INFO:root:Iteration 83, violation 6.769
INFO:root:Iteration 84, violation 6.868
INFO:root:Iteration 85, violation 6.940
INFO:root:Iteration 86, violation 6.985
INFO:root:Iteration 87, violation 7.033
INFO:root:Iteration 88, violation 7.272
INFO:root:Iteration 89, violation 7.489
INFO:root:Iteration 90, violation 7.697
INFO:root:Iteration 91, violation 7.873
INFO:root:Iteration 92, violation 8.026
INFO:root:Iteration 93, violation 8.155
INFO:root:Iteration 94, violation 8.260
INFO:root:Iteration 95, violation 8.343
INFO:root:Iteration 96, violation 8.405
