WARNING:root:Automatically setting rho to 0.246
INFO:root:Starting ADMM phase 1 with tol 0.010
INFO:root:Starting ADMM phase 2 with rho 0.246
INFO:root:Iteration 0, violation 25.992
INFO:root:Iteration 1, violation 26.056
INFO:root:Iteration 2, violation 26.151
INFO:root:Iteration 3, violation 26.275
INFO:root:Iteration 4, violation 26.429
INFO:root:Iteration 5, violation 26.610
INFO:root:Iteration 6, violation 26.818
INFO:root:Iteration 7, violation 27.050
INFO:root:Iteration 8, violation 27.305
INFO:root:Iteration 9, violation 27.630
INFO:root:Iteration 10, violation 28.058
INFO:root:Iteration 11, violation 28.509
INFO:root:Iteration 12, violation 28.979
INFO:root:Iteration 13, violation 29.464
INFO:root:Iteration 14, violation 29.961
INFO:root:Iteration 15, violation 30.466
INFO:root:Iteration 16, violation 30.974
INFO:root:Iteration 17, violation 31.482
INFO:root:Iteration 18, violation 31.987
INFO:root:Iteration 19, violation 32.483
INFO:root:Iteration 20, violation 32.967
INFO:root:Iteration 21, violation 33.436
INFO:root:Iteration 22, violation 33.886
INFO:root:Iteration 23, violation 34.313
INFO:root:Iteration 24, violation 34.715
INFO:root:Iteration 25, violation 35.087
INFO:root:Iteration 26, violation 35.427
INFO:root:Iteration 27, violation 35.733
INFO:root:Iteration 28, violation 36.002
INFO:root:Iteration 29, violation 36.232
INFO:root:Iteration 30, violation 36.420
INFO:root:Iteration 31, violation 36.565
INFO:root:Iteration 32, violation 36.769
INFO:root:Iteration 33, violation 37.087
INFO:root:Iteration 34, violation 37.364
INFO:root:Iteration 35, violation 37.597
INFO:root:Iteration 36, violation 37.786
INFO:root:Iteration 37, violation 37.929
INFO:root:Iteration 38, violation 38.025
INFO:root:Iteration 39, violation 38.074
INFO:root:Iteration 40, violation 38.075
INFO:root:Iteration 41, violation 38.028
INFO:root:Iteration 42, violation 37.932
INFO:root:Iteration 43, violation 37.790
INFO:root:Iteration 44, violation 37.711
INFO:root:Iteration 45, violation 37.619
INFO:root:Iteration 46, violation 37.476
INFO:root:Iteration 47, violation 37.283
INFO:root:Iteration 48, violation 37.040
INFO:root:Iteration 49, violation 36.749
INFO:root:Iteration 50, violation 36.410
INFO:root:Iteration 51, violation 36.026
INFO:root:Iteration 52, violation 35.596
INFO:root:Iteration 53, violation 35.125
INFO:root:Iteration 54, violation 34.613
INFO:root:Iteration 55, violation 34.064
INFO:root:Iteration 56, violation 33.480
INFO:root:Iteration 57, violation 32.864
INFO:root:Iteration 58, violation 32.219
INFO:root:Iteration 59, violation 31.549
INFO:root:Iteration 60, violation 30.857
INFO:root:Iteration 61, violation 30.146
INFO:root:Iteration 62, violation 29.421
INFO:root:Iteration 63, violation 28.684
INFO:root:Iteration 64, violation 27.941
INFO:root:Iteration 65, violation 27.436
INFO:root:Iteration 66, violation 27.312
INFO:root:Iteration 67, violation 27.164
INFO:root:Iteration 68, violation 26.994
INFO:root:Iteration 69, violation 26.802
INFO:root:Iteration 70, violation 26.591
INFO:root:Iteration 71, violation 26.362
INFO:root:Iteration 72, violation 26.117
INFO:root:Iteration 73, violation 25.858
INFO:root:Iteration 74, violation 25.586
INFO:root:Iteration 75, violation 25.305
INFO:root:Iteration 76, violation 25.477
INFO:root:Iteration 77, violation 25.655
INFO:root:Iteration 78, violation 25.816
INFO:root:Iteration 79, violation 25.959
INFO:root:Iteration 80, violation 26.084
INFO:root:Iteration 81, violation 26.189
INFO:root:Iteration 82, violation 26.275
INFO:root:Iteration 83, violation 26.341
INFO:root:Iteration 84, violation 26.388
INFO:root:Iteration 85, violation 26.419
INFO:root:Iteration 86, violation 26.432
INFO:root:Iteration 87, violation 26.429
INFO:root:Iteration 88, violation 26.412
INFO:root:Iteration 89, violation 26.382
